,name,price,location,offerer,id,description,year,manufacturer,model,category,length,fuel_type,hull_material,hull_shape,country
663,2008 Jeanneau Sun Odyssey 45 DS2008 Jeanneau Sun Odyssey 45 DS,185000.0,"tribunj, kroatien",Merk & Merk d.o.o.,8275212,"The Jeanneau Su Odyssey 45 DS hull and interior arrangement is the work of Phillipe Briand, who has been drawing boats for Jeanneau since 1984. At 45 feet, this 2008 model is well positioned to appeal to a wide swath of sailors.The 45 DS has a solid fiberglass hull that is injection molded for. The workmanship is superb. This boat is well engineered and constructed. Through the years upgrated to all needs for self-sufficient navigation and well kept by her present owner, she is truly one of her kind.Mehr anzeigen",2008,Jeanneau,Sun Odyssey 45 DS,Racer/ Cruiser Segelboote,13.41,diesel,GFK / fiberglas / polyester,Monohull ,croatia
664,1984 Reliance 441984 Reliance 44,54000.0,"lisboa, portugal",Sea Way Lda,8404781,Make: Reliance Model: Reliance 44 Year: 1984Mehr anzeigen,1984,Reliance,44,Klassische Segelboote,13.41,diesel,GFK / fiberglas / polyester,,portugal
665,1998 Beneteau Oceanis 44 CC1998 Beneteau Oceanis 44 CC,110000.0,"lisboa, portugal",Sea Way Lda,8404737,Make: Beneteau Model: Oceanis 44 CC Year: 1998Mehr anzeigen,1998,Beneteau,Oceanis 44 CC,Segelyachten,13.4,diesel,GFK / fiberglas / polyester,,portugal
666,1998 Contest 441998 Contest 44,179000.0,"in de hal, skipsmaritiem noord stavoren.
bezichtiging op afspraak!
, niederlande",Skipshandel Stavoren,7935176,"CONTEST 44. TRADE IN NEGOTIABLE! Comfortable sea sailor and also very suitable for coastal water! Easy to man with a small crew.


CONTEST 44, 'Tumbledown Wind', is looking for sea and/or coastal sailors/stars for beautiful trips. This ship is equipped with many extras in terms of equipment and instruments!
The Contest 44 is designed and built to be sailed by a small crew, a couple if you will, in comfort. And by comfort we mean the comfort of an all-rounder capable of fast passages.
The comfort of a yacht that moves gracefully in a seaway. The comfort of a well-thought-out interior and a cockpit that make life on board a joyful pastime.



Accommodation
Material, colours: teak
Cabins: + saloon

Rigging
Winches: 6 x in cockpit + coachroof / 1 x on mast
Number of masts: SELDÉN

Navigation and electronics
Other:
This CONTEST 44 is equipped with many instruments and very extensively equipped! Come on board and be surprised.

Equipment
Anchor winch: LOFRANS Project X3
Tarpaulin(s): mainsail cover + genoa cover


Interior type: Modern, wood look. teakMehr anzeigen",1998,Contest,44,Slup Boote,13.4,diesel,other,other,netherlands
667,1998 Contest 441998 Contest 44,179000.0,"stavoren, niederlande",Jachtmakelaardij 4Beaufort,7937452,"The Contest 44 is designed and built to be sailed by a small crew, a couple if you will, in comfort. And by comfort we mean the comfort of an all-rounder capable of fast passages.
The comfort of a yacht that moves gracefully in a seaway. The comfort of a well-thought-out interior and a cockpit that make life on board a joyful pastime.Mehr anzeigen",1998,Contest,44,Slup Boote,13.4,diesel,other,other,netherlands
668,2008 Elan Impression 4342008 Elan Impression 434,175000.0,"portimão, portugal",Sea Way Lda,8404793,Make: Elan Model: Impression 434 Year: 2008Show more,2008,Elan,Impression 434,Segelyachten,13.4,diesel,GFK / fiberglas / polyester,,portugal
669,1978 Endurance 441978 Endurance 44,85000.0,"contact de valk barcelona / gerona, spanien",De Valk Group B.V,8025277,"Model: ENDURANCE 44 Type: sailing yacht LOA (m): 13,40 Beam (m): 4,00 Draft (m): 2,10 Year built: 1978 Builder: Chantier de la Grande Bruyere Country: France Designer: Peter Ibold Displacement (t): 13 Hull material: steel Antifouling (year): 2021 Fuel tank (litre): 2X 500L - cleaned in 2021 stainless steel Freshwater tank (litre): 800 L Cleaned in 2021 Blackwater tank (litre): 60 L Greywater tank (litre): 170 L More info on hull: sandblasted and epoxy system treatment with Hempel in 2018 Extra info: All water pipes changed in 2021 Extra info: New fittings in galley and heads in 2021 Extra info: Total hull refit with new steel skin and foam insulation in 2012 This solid and very well build steel hull Endurance 44, designed by Peter Ibold, has a beautiful and comfortable cockpit and a spacious forward deck. You will find the accommodation area open and light and well equipped. The yacht has been well maintained by her experienced owner, lately the electrical system has been renewed onboard and the hull sandblasted and epoxy treated in 2018. Everything is operative for a safe passage. 
For more information: ENDURANCE 44 for sale at De Valk Yachtbrokers - Click here:Mehr anzeigen",1978,Endurance,44,Slup Boote,13.4,diesel,steel,,spain
670,2023 Grand Soleil 44 Performance2023 Grand Soleil 44 Performance,489590.0,"barcelona, spanien",Motyvel Yachts,8196130,"BOAT CONFIGURED
BOAT IN STOCK- AVAILABILITY APRIL 2023
MAIN EQUIPMENT: STANDARD BOAT WITH INTEGRATED CARBON BOOM, HYDRAULIC PLATFORM OPENING WITH CONTROL, TEAK COCKPIT, LAMINATED HULL BULKHEADS, T-BULB KEEL, INTERIOR WOOD AND OAK FLOORS, LED INTERIOR AND EXTERIOR LIGHTS, LED AMBIENT LIGHTING, INDIRECT LED UNDERFURNITURE LIGHT LIVING ROOM, PORT OUTLET, 12 V AND 220 V CIRCUITS, FLUSH HATCHES WITH MOSQUITO NETS AND FOSCURITS, HOLDING TANK IN EACH BATHROOM, L-FITTED KITCHEN, 90 L DOUBLE OPENING REFRIGERATOR + ADDITIONAL 42 L FRIDGE/FREEZER, SALT/FRESH WATER FOOT PUMP IN SINK KITCHEN, WELECTRIC, 3 90 AMP AGM SERVICE BATTERIES AND 1 70 AMP AGM MOTOR BATTERY, EXTRA AGM BATTERY, MASTERVOLT 2,500 W CONVERTER, VOLVO PENTA 60 CV ENGINE (UPGRADE) WITH SAILDRIVE, FLEX OR FOLD THREE-BLADE FOLDING PROPELLER, SIDE POWER BOW THRUSTER, CASES WITH PISTON, SPARCRAFT PERFORMANCE ANODIZED ALUMINUM MAST WITH DOUBLE DECK SPREADERS AND ROD RIGGING, HARKENSWITCH T-TRACK RAIL, RACING BOOM, RIGID AGAINST, FLUSH FURLEX JIB FURL, WINCH ESHARKEN AND ELECTRIC MAIN WINCHE, HYDRAULIC BACKSTAY, MAIN SHEET ON COCKPIT FLOOR WITH RAIL, GERMAN GREATER, SELF-TAIRING JIB CARRIAGE, FORWARD SAILS BOX, RIGGING DECK MANEUVER, 6 RETRACTABLE CLEATS, COCKPIT HATCHES, CONVERTIBLE SALOON, ELECTRONIC CONSOLES IN BINETIC ELECTRONICS, PACK RAY MARINE WITH ELECTRONICS DISPLAYS AND PILOT, VHF, AXIOM 9 WITHWIFI, AIS, COMPLETE ANCHORAGE WITH WINDLASS, MOORINGS, FENDERS, WINDLASS CONTROL AND BATHTUB COUNTER. NOT INCLUDED TRANSPORT ITALY - BARCELONA, EPOXY AND ANTIFOULING, ASSEMBLY AND SEA TESTS.
more anzeigen",2023,Grand Soleil,44 Performance,Segelyachten,13.4,diesel,GFK / fiberglas / polyester,,spain
671,1984 Nauticat 431984 Nauticat 43,110000.0,"contact de valk corfu, griechenland",De Valk Group B.V,7937796,"Model: NAUTICAT 43 Type: sailing yacht LOA (m): 13,40 Beam (m): 4,20 Draft (m): 1,90 Headroom (m): 2,00 Year built: 1984 Builder: SILTALA FINLAND Country: Finland Designer: Sparkman & Stephens Displacement (t): 10 Ballast (tonnes): 5 CE norm: NA Hull material: GRP Hull colour: off-white Hull shape: round-bilged Keel type: Short keel Superstructure material: GRP Deck material: GRP Deck finish: teak Cockpit deck finish: teak Antifouling (year): April 2019 Dorades: yes Window frame: aluminium Window material: glass Deckhatch: yes Portholes: aluminium Flybridge suncover: yes Radar arch: non collapsible Steadying sail with mast: yes Fuel tank (litre): 500 steel Fuel tank 2 (litre): 500 steel Level indicator (fuel tank): yes Freshwater tank (litre): 850 (total in 2 tanks) stainless steel Level indicator (freshwater): yes Blackwater tank (litre): 80 (total in 2 tanks) stainless steel Blackwater tank extraction: pump Wheel steering: Also mechanical in aft cabin when hydraulic is out of order hydraulic Inside helm position: yes Outside helm position: hydraulic Extra info: Anti osmosis treatment in 2000 If you are looking for a wellfound blue water, island hopping, live aboard (in conmort) cruiser, you need to see this NAUTICAT 43 PILOT HOUSE. She is a great way to stay warm & dry in bad weather & stay out of the mercilless sun in summer. She has been attentively kept in good repair by her owners who are experienced & knowledgegable cruisers.
For more information: NAUTICAT 43 for sale at De Valk Yachtbrokers - Click here:Mehr anzeigen",1984,Nauticat,43,Slup Boote,13.4,diesel,GFK / fiberglas / polyester,other,greece
672,1998 Nautor Swan 44 MKII1998 Nautor Swan 44 MKII,259000.0,"contact de valk hindeloopen, niederlande",De Valk Group B.V,8318681,"Model: SWAN 44 MKII Type: sailing yacht LOA (m): 13,40 LWL (m): 10,56 Beam (m): 4,24 Draft (m): 2,18 Air draft (m): 20,00 Headroom (m): 1,95 Year built: 1998 Builder: Oy NAUTOR Ab Country: Finland Designer: German Frers Displacement (t): 12,4 Ballast (tonnes): | 3,8 lead CE norm: A Hull material: GRP Hull colour: white Hull shape: round-bilged Keel type: fin keel with bulb Superstructure material: GRP Rubbing strake: aluminum Deck material: GRP Deck finish: teak Superstructure deck finish: | non-skid moulded in teak Cockpit deck finish: teak Antifouling (year): 2022 Dorades: 2x Window frame: aluminium Window material: tempered glass Deckhatch: 3 large and 4 small | Goiot Portholes: | 6x aluminium Fuel tank (litre): | 250 ltr. | with inspection opening stainless steel Fuel tank 2 (litre): | 150 ltr. | with inspection opening stainless steel Level indicator (fuel tank): yes Freshwater tank (litre): | 2x 190 ltr. stainless steel Level indicator (freshwater): yes Blackwater tank (litre): | aft toilet | 50 ltr. stainless steel Blackwater tank extraction: deck extraction + uw line Wheel steering: Nautor Swan chain steering Emergency tiller: yes This Swan 44 MK II, designed by German Frers, is a beautiful, but above all sporty sailing yacht. She has good sailing qualities, which are due, among other things, to her top and bottom line and her extensive range of sails. This Swan 44 MK II also has the necessary comfort, a teak interior and sleeping accommodation for up to 7 people. She is ready for family cruises, but you can also feel free to participate in a regatta. Also participation in e.g. the ""ARC"" is no problem for this Swan 44 MK II. We look forward to seeing this yacht at our office in Hindeloopen!
For more information: SWAN 44 MKII for sale at De Valk Yachtbrokers - Click here:Mehr anzeigen",1998,Nautor Swan,44 MKII,Slup Boote,13.4,diesel,other,,netherlands
673,1997 Schoechl Sunbeam 441997 Schoechl Sunbeam 44,182000.0,"22941 bargteheide, deutschland",CBC,8417672,"A well-kept Sunbeam 44 is for sale on behalf of a customer. The yacht has always been privately owned and has not been chartered. The condition of the yacht is extremely good, the yacht will be handed over ready to sail and has only had two previous owners. If necessary, a berth can be taken over. The Sunbeam 44 is a quality yacht designed by J&J Design and the Austrian designer M. Schöchl. The yacht is designed as a long-distance cruiser and is also suitable for longer stays on board. In addition to the high-quality workmanship, the luxury and the generous space inside, the boat also has excellent sailing characteristics. Details: CE certification: Class A Keel type: short keel Headroom: 200cm Fresh water tank: 550 liters Dirty water tank: 200 liters Engine: Yanmar 4JH2-TE Power: 60 HP / 44kW Operating hours: 2082 Fuel: Diesel Fuel tank: 380 liters Propulsion: Shaft drive D-Drive Engine operation: cable steering Equipment: - furling jib system - furling mainsail - sloop rigging - spinnaker boom - aluminum boom - backstay tensioner - autopilot - radar - self-steering system - speedometer - VHF radio - wind measuring system - echo sounder - GPS - chart plotter - compass - sprayhood - tarpaulin - shore connection - life raft - steering compass - Battery - battery charger - voltmeter - hour meter - bow thruster - electric bow anchor winch - anchor - bilge pump - upholstery covers - guard rail - bathing platform - teak deck - navigation lights - underwater paint - hot water system - pressure water system - electric winches - fire extinguisher - tethers - hand winch - generator diesel 4kW - equipment rack - treatment system for seawater - E Owner's cabin - 2x aft cabin (can be converted into a large cabin) - Salon - 2 bathrooms - Shower - Gas stove (4 burners) - Freezer - Oven - Sink - Electric fridge - Other extras... The yacht was built in the year 2021-2022 obsolete. The following work was carried out: - New hull painting - New antifouling underwater ship - All deck hatches renewed above - Seacocks renewed - Bearing rudder renewed - New radar (Garmin) - New anemometer - All upholstery cleaned - 2x toilet new - Diesel lines renewed - New anchor - Many more New parts...Show more",1997,Schoechl,Sunbeam 44,Daysailers,13.4,diesel,GFK / fiberglas / polyester,,germany
674,1979 Trintella 441979 Trintella 44,95000.0,"contact de valk corfu, griechenland",De Valk Group B.V,7937801,"Model: TRINTELLA 44 Type: sailing yacht LOA (m): 13,40 LWL (m): 10,80 Beam (m): 4,10 Draft (m): 2,20 Air draft (m): 19,50 Headroom (m): 2,10 Year built: 1979 Builder: Anne Wever, Trintella Yachts Country: The Netherlands Designer: Van de Stadt & Partners Displacement (t): 19 Ballast (tonnes): 6 lead CE norm: NA Hull material: GRP Hull colour: white Hull shape: round-bilged Keel type: fin keel Bilge keels: yes Superstructure material: GRP Rubbing strake: wood Deck material: GRP Deck finish: teak Superstructure deck finish: teak Cockpit deck finish: teak Dorades: yes Window material: polycarbonate Deckhatch: yes Portholes: yes Radar arch: yes Fuel tank (litre): 450 GRP Level indicator (fuel tank): yes Freshwater tank (litre): 800 GRP Level indicator (freshwater): yes Blackwater tank (litre): 120 (not connected) Wheel steering: mechanical Emergency tiller: yes More info on paintwork: Anti fouling (2019) Extra info: new 24V fresh water pump including spare-one This Trintella 44 is a Dutch built Van de Stadt design with superb sea going characteristics. We at De Valk Yachtbrokers know this yacht for more than 20 years, and know she pleased her owners enormously. Still in very strong condition wit a lot of equipment renewed through the years. A perfect yacht for long trips and living aboard. Lying in Prevesa on the west coast of Greece and ready for the next blue water adventure.
For more information: TRINTELLA 44 for sale at De Valk Yachtbrokers - Click here:Mehr anzeigen",1979,Trintella,44,Slup Boote,13.4,diesel,GFK / fiberglas / polyester,other,greece
675,1998 Grand Soleil 431998 Grand Soleil 43,110000.0,"palma de mallorca, spanien",Yateocasion.com,8413909,"Grand Soleil 43 from 1998 in perfect condition for sale in Mallorca.
The Grand Soleil 43 is an elegant cruiser built by the Italian shipyard Cantiere del Pardo and designed by J & J. The generous hull design and sail plan provide outstanding sailing characteristics. Powered by a 56 Hp Yanmar diesel engine. Side decks, teak roof and cockpit, full navigation equipment, inverter, air conditioning, electric anchor windlass, etc...
Designed for comfortable touring, the Grand Soleil 43 remains one of the most popular models in the range.
For more information contact Ilona +34 653 472 988 or email ilona@yateocasion.com

Grand Soleil 43 from 1998 in perfect condition for sale in Mallorca.
The Grand Soleil 43 is an elegant cruiser built by the Italian shipyard Cantiere del Pardo and designed by J & J. The generous hull design and sail plan provide outstanding sailing characteristics. Powered by a 56 Hp Yanmar diesel engine. Side decks, roof and cockpit in teak, complete navigation equipment, inverter, air conditioning, electric anchor windlass, etc...
Designed for comfortable touring, the Grand Soleil 43 remains one of the most popular models in the range.
For more information contact Ilona +34 653 472 988 or email ilona@yateocasion.com

Grand Soleil 43 von 1998 in perfect Zustand auf Mallorca zu verkaufen.
Die Grand Soleil 43 ist ein elegant Kreuzer, der von der italienischen Werft Cantiere del Pardo gebaut und von J & J entworfen wurde. Das großzügige Rumpfdesign und der Segelplan sorgen für hervorragende Segeleigenschaften. Angetrieben von einem 56 PS starken Yanmar-Dieselmotor. Seitendecks, Dach und Cockpit in Teakholz, komplette Navigationsausrüstung, Inverter, Klimaanlage, elektrische Ankerwinde, etc...
Die Grand Soleil 43 wurde für komfortables Reisen entwickelt und bleibt eines der beliebtesten Modelle der Reihe.
Für weitere Informationen kontaktieren Sie Ilona unter +34 653 472 988 oder per E-Mail an ilona@yateocasion.com

Grand Soleil 43 z 1998 roku w idealnym stanie na sprzedaż na Majorce.
Grand Soleil 43 to elegancki krążownik zbudowany przez włoską stocznię Cantiere del Pardo i zaprojektowany przez J & J. Bogaty projekt kadłuba i plan żaglii zapewniają wyjątkowe właściwości żeglarskie. She napędzany silnikiem wysokoprężnym Yanmar or mocy 56 KM. Pokłady boczne, dach i kokpit z drewna tekowego, kompletne wyposażenie nawigacyjne, inverter, klimatyzacja, elektryczna winda kotwiczna itp...
Zaprojektowany z myślą o wygodzie podróżowania, Grand Soleil 43 pozostaje jednym z najpopularniejszych modeli w gamie.Mehr anzeigen",1998,Grand Soleil,43,Racer Segelboote,13.39,diesel,GFK / fiberglas / polyester,Monohull ,spain
676,2000 Grand Soleil Grand Soleil 432000 Grand Soleil Grand Soleil 43,109000.0,"toulon, france méditerranée, frankreich",ST TROPEZ YACHTS BROKER,8437411,"Version grand tirant d'eau et mat 3 étages de barre de flêches. La performance et la confort en croisière avec autonomie grasse au groupe electrognéne et le dessalinisateur.
English Version draft large and matte 3 floors of arrow bar. Performance and comfort in cruising with fat autonomy to the electromagnen group and the watermaker.
Italiano Versione grande bozza e opaca 3 piani di barra freccia. Prestazioni e comfort in crociera con autonomia grassa al gruppo elettromagnete e al dissalatore.
Deutsch Version grßer Entwurf und matt 3 Etagen der Pfeilleiste. Leistung und Komfort beim Cruisen mit fetter Autonomie zur Elektromagnengruppe und zum Wassermacher.
Español Version de gran calado y mate de 3 pisos de barra de flecha. Rendimiento y comodidad en crucero con autonomía de grasa para el grupo electromagnen y la potabilizadora.
Russia Version with large traction and matt 3 floors of arrow bar. Performance and comfort on a cruise with fat autonomy for an electromagnet group and a pond.Mehr anzeigen",2000,Grand Soleil,Grand Soleil 43,Racer/ Cruiser Segelboote,13.39,diesel,GFK / fiberglas / polyester,Verdränger,france
677,2008 Alubat Ovni 4352008 Alubat Ovni 435,255000.0,"kamperland (nl), niederlande",White Whale Yachtbrokers,8352438,"Alubat Ovni 435, 2008. An ultimate departure boat!


Complete Alubat Ovni 435 from 2008, offered by the first owner. Specially purchased / adapted at the time for world circumnavigation!
Are you looking for a complete, ready to sail and suitable ship for serious journeys? Do not hesitate and contact White Whale Willemstad, info@WWY.nl / +31 (0) 168 820 208. This ship can be viewed by appointment in Kamperland (NL).

Do you also want to sell your boat? White Whale Yachtbrokers has 11 offices in Europe. We simply sell your boat from your own berth, for a low commission. Free advertising on the most relevant and leading websites including Yachtworld.com. No start-up costs, always no-cure-no-pay!! Feel free to ask us for a proposal for your own yacht.


General
Rudder: Hydraulic, lifting
Water displacement: approx.
Ballast: approx.
Air draft normal: approx.
Other:
Antifouling, 2022
Anodes (zinc), 2022
Insulated hull

Accommodation
Cooker & fuel: Force-10
Other:
Large storage room in peak

Engine, electrics, water
Operating hours: approx. According to owner's log
Propulsion: 3-blade Fixed
Solar panel: 2017
Hot water: New - 2022 (engine / 220V)

Rigging
Spars, stays: Removable backstays
Genoa: 2017
Other:
Code Zero (practically new)
All traps and lines go to the cockpit
Removable bowsprit

Navigation and electronics
Other:
wind pilot
SSB transmitter/receiver with antenna tuner and Pactor modem (2012)

Equipment
Anchor winch: 2015
Fenders, lines: Various
Davits: Via bracket
more anzeigen",2008,Alubat Ovni,435,Slup Boote,13.37,diesel,Aluminium,Trimaran,netherlands
678,2004 Beneteau First 44.72004 Beneteau First 44.7,105000.0,"palermo, sicilia, italien",Columbus Yachting Srl,8420812,"Permute is evaluated Electronic tools for navigation: DSC VHF. Staging and technical: 4 Batteries, Gangway, Electric Windlass, Tender, 5 Hydraulic Winch. Facilities on board: seawater desalination plant. Entertainment: Loudspeakers (pozzetto). Sails accessories: spinnaker equipment, lazy bag, lazy jack. Upholstery: Sunshade.Show more",2004,Beneteau,First 44.7,Racer/ Cruiser Segelboote,13.37,diesel,other,,italy
679,1973 STE NAUTIC SAINTONGE RORQUAL 441973 STE NAUTIC SAINTONGE RORQUAL 44,74000.0,"cannes, alpes-maritimes ( 06 )",XBOAT,8485573,"1973 STE NAUTIC SAINTONGE RORQUAL 44,
XBOAT ref 5186. Passionate boat, a traveler/classic presented on its release as one of the best regattas/cruises.

Complete renovation 2019, Very good general condition.

Thick epoxy/GRB/pine/teak construction

18 mm solid teak deck renovated in 2019 during a redesign of the deck plan and a revision of the fittings. Change of plexi, renovation of chainplates etc... details on request. new VHF

A must see More information and photos on the site xboat.frMehr anzeigen",1973,STE NAUTIC SAINTONGE,RORQUAL 44,Klassische Segelboote,13.35,diesel,other,,afghanistan
680,2017 Jeanneau Sun Odyssey 4492017 Jeanneau Sun Odyssey 449,168000.0,"dalmatia (hr), kroatien",White Whale Yachtbrokers,8393180,"Very nice and well maintained yacht - used in charter


As good as new Jeanneau Sun Odyssey 449 from 2018 with 4 cabins, 8+2 berths and 2 bathrooms.
We can offer her for a fantastic price of 199,500 Euro plus VAT. She sails under the Croatian flag.

This boat has only been chartered for one season and is in as good as new condition. It has a recent upgrade with underwater lighting with blue LED lights.
It is equipped with bow thruster, GPS plotter, safety equipment, navigation instruments and full charter equipment.
 All photos are taken by us and show the actual condition. We have inspected this yacht very thoroughly, ask us for more information if necessary.
Are you looking for a comfortable, fully equipped, spacious and well maintained yacht?
Call or email us for more information or to make an appointment in Zadar (Croatia)


General
Steering: 2x Lewmar wheel

Accommodation
Saloons: L-shaped lounge sofa with wooden table and 2 linear seats
Cabins: 2 aft cabins with double beds and lockers, port cabin with bunk beds and forward cabin with double beds with lockers

Rigging
Spars, stays: with 2 spreaders
Winches: Harken winches
Genoa reefing system: furling genoa
Other:
aluminum boom
rod kicker
waltz furler
deck hardware

Equipment
Swimming platform: in teak
Other:
cockpit floor and seats covered in teak

Safety
Other:
hand-held compass
bills
 
more anzeigen",2017,Jeanneau,Sun Odyssey 449,Slup Boote,13.34,diesel,other,other,croatia
681,2011 Dehler Varianta 44 -VERKAUFT-2011 Dehler Varianta 44 -VERKAUFT-,99000.0,"kiel, deutschland",Nordic Yachting e.K.,8416230,"Fast Varianta 44 in the version with 2nd aft cabin with the best equipment, always stored indoors and maintained in the shipyard and well equipped: Aquasignal LED steamer light with deck spotlight, Aquasignal LED lights, anchor roller, Maxwell anchor winch P102558 RC-8 12V 1000W 8mm chain, plastic teak on bathroom floor, teak band around table and fore bulkhead, anchor chain 8 mm galvanized 30 m, Prebit LED lights, Separ diesel filter SWK-2000/5, Navicom mounting bracket, VHF Navicom RT-650 MOB with DSC, ATIS + AIS + MOB, Hawk combined, Windex mast antenna, NMEA USB Converter, boom cover, mainsail, genoa, jib, Spi Tape Drive Carbon, furling jib cover, Bartels electric jib furling system below deck with Reckmann profile forestay, forestay fitting furling jib, FORCE10 3 flames with oven, gimbal EURO standard, 46ST winches for mainsheet, Holt mast slip system and ball bearing blocks, hatches for aft cabins Manson Supreme anchor 21 kg galvanized, Philippi circuit distributor STV228 9 to 30 volts, w with battery monitor BCM1, tank monitor TCM4. Vetus radio remote control RCM4 for furling jib & windlass, Vetus fan UFO2, Lazy-Jack system, Lewmar quickfit winch handles, Holt 75 mm genacker blocks HT92815, Holt Padeys 8 mm HT60085961, GPS105 smart GPS sensor, Gori folding propeller 16.5x13x3 LHS for saildrive, Windex, ISOTEMP Basic boiler 24L 230V/750W, double heating coil, Isotherm CRUISE refrigerator 100L ASU, autopilot drive Jefa DD1, Johnson Flow Master 5.0-12V 19L 3.5bar for Tecma toilet, compass HPX, mast holder for 3 Multi XL displays, Multi XL displays on the mast , NX2 server, remote control, rudder position encoder, Philippi bow - stern switch LAE241, Philippi shore connection unit LAE220, Tecma Silence Plus Short 12V, upgrade 150 Ah Victron AGM battery instead of 80 Ah. (now 2 x 165 Ah = 330 Ah on board), Victron Centaur Charger 12/50, antifouling paint, upgrade Harken 53ST winches instead of standard ST42. Arrange a viewing appointment, we look forward to your visit! -The sale takes place in the mediation order.-Show more",2011,Dehler,Varianta 44 -VERKAUFT-,Daysailers,13.33,diesel,GFK / fiberglas / polyester,,germany
682,2012 Hanse Varianta 44 -VERKAUFT-2012 Hanse Varianta 44 -VERKAUFT-,99000.0,"fehmarn, deutschland",Nordic Yachting e.K.,8416221,"Perfectly equipped and very fast VA44 in the best condition: VOLVO-PENTA D2-30 with three-blade folding propeller (Volvo Penta), engine compartment insulation new in 2015, EXTURN 3.0KW bow thruster, CARBONAUTICA steering wheel 1800mm, SPARCRAFT rig, 55sqm mainsail in wide panel membrane TECHNORA DPI 18000 on both sides with gray tafetta and 3 (!) reefs new in 2015, RUTGERSON pressure roller slide new in 2015, furling jib in Millenium TECHNORA membrane new in 2014 on FURLEX 300S headsail furling system, strong wind jib 30sqm in laminate for cutter stay with stay riders, removable MAFFIOLI DSK99 cutter stay with Dyneema Halyard new in 2015, Dyneema main and headsail halyard, 150 sqm gennaker (A3, good condition), 70 sqm gennaker (A1 ""Code 0?"", good condition), LEWMAR ST40 gennaker winches, 4x PONTOS 46 grinder winches new in 2015, SPARCRAFT halyard blocks 80mm , SELDEN deflection blocks on WICHARD Pad-Eyes for gennker sheets, SPINLOCK halyard stopper, FACNOR bowsprit with flexibly deflected Dyneema water stay, lazyjacks with Maindropsys tem new in 2015, sprayhood, cockpit tent new in 2014, SPHAERA skirting board system, plastic rod deck in the cockpit and bathroom, LOFRANS electric windlass with foot switches and 50m stainless steel anchor chain, SPADE 100 aluminum anchor 12kg, stainless steel anchor bracket, spring cleats midships, three-part stainless steel swim ladder, LEWMAR mushroom fan on all deck hatches, water pass foiled in gray with VA44 logo on both sides, transparent foiling for all deck hatches, winch and trap bags, PLASTIMO life raft for 4 people with deck mount, RAYMARINE i70 system with three multifunction displays for log, echo and wind, RAYMARINE SPX-30 course computer with Fluxgate, JEFA-Drive and p70 control display, RAYMARINE e7 Hybrid Touch multifunction chart plotter new in 2015 at the helm station, RAYMARINE Smartcontrol remote control, RAYMARINE AIS 650 transceiver, class B, RAYMARINE Ray260 VHF marine/inland radio system DSC/ATIS, EU version with passive Loudspeakers and handsets in saloon and cockpit, RAYMARINE Radar 418 d with radar mast f on SCANSTRUT at the stern, weather info box EUROPE Wibe with backstay connection, WIFI wireless module for transmission of ship data to smartphone, tablet and PC, FUSION Radio i700 with Bluetooth and two speakers each in saloon and cockpit new in 2014, LED lighting throughout the ship new in 2015, AGM starter battery new in 2016, 2x 160Ah AGM service batteries new in 2015, relocation of all wiring and fuses to the service channel in 2014 with installation of a large switch panel and battery monitor PHILIPPI BLM, USB sockets throughout the ship, 12V and 220V sockets in the aft cabins new in 2015, 220V sockets in the pantry, deck lighting new in 2015, additional thermal insulation on the inner walls in the bow and saloon, lee sails in the bow and saloon, wall paneling with storage bags new in 2015, COOLMATIC CR-80 refrigerator new in 2014, hot water boiler, Stern shower hot and cold, salt water foot pump new in 2015, conversion of the fore cabin to the sail load in 2015 (still as a double cabin usable), separated by a fixed collision bulkhead and accessible through an additional LEWMAR deck hatch, conversion of the owner's cabin in 2015 with a spacious closet and storage system, service hatches in the covers of the saloon benches, saloon table and foredeck berths, full winter cover new in 2013, NO regatta and charter use. Moving pictures also at https://youtu.be/zPuQqpCzpWI We look forward to your visit! -The sale takes place in the mediation order.-Show more",2012,Hanse,Varianta 44 -VERKAUFT-,Daysailers,13.33,,GFK / fiberglas / polyester,,germany
683,2006 Dean dean 4412006 Dean dean 441,350000.0,"cap d'agde, hérault ( 34 )",BOATS AND YACHT,8401428,"DEAN 441, 4 cabins and 3 bathrooms.Mehr anzeigen",2006,Dean,dean 441,Segelyachten,13.3,diesel,GFK / fiberglas / polyester,,afghanistan
